,Game Name,Console,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Last Update
86,Grand Theft Auto: Vice City Stories    ,PSP,Rockstar Games  ,Rockstar Leeds  ,N/A  ,8.4,N/A  ,5.08m,1.70m,2.03m,0.16m,1.19m,31st Oct 06  ,
87,FIFA Soccer 11    ,PS3,EA Sports  ,EA Canada  ,8.6,8.7,N/A  ,5.08m,0.61m,3.28m,0.06m,1.12m,28th Sep 10  ,
88,Final Fantasy XV    ,PS4,Square Enix  ,Square Enix  ,N/A  ,8.1,9,5.07m,1.81m,1.53m,1.05m,0.68m,29th Nov 16  ,04th May 18
89,Fallout 4    ,XOne,Bethesda Softworks  ,Bethesda Game Studios  ,N/A  ,8.4,N/A  ,5.03m,2.94m,1.62m,0.02m,0.45m,10th Nov 15  ,24th Mar 18
90,Tony Hawk's Pro Skater    ,PS,Activision  ,Neversoft Entertainment  ,N/A  ,9.6,N/A  ,5.02m,3.42m,1.38m,0.02m,0.20m,31st Aug 99  ,
91,Warzone 2100    ,PS,Eidos Interactive  ,Pumpkin Studios  ,N/A  ,N/A  ,N/A  ,5.01m,2.79m,1.89m,,0.33m,31st May 99  ,
92,Guitar Hero III: Legends of Rock    ,PS2,RedOctane  ,BudCat Creations  ,N/A  ,8.2,N/A  ,4.98m,3.49m,0.01m,0.01m,1.48m,28th Oct 07  ,
93,Uncharted: Drake's Fortune    ,PS3,Sony Computer Entertainment  ,Naughty Dog  ,8.7,8.7,8.6,4.97m,2.32m,1.73m,0.12m,0.80m,16th Nov 07  ,
94,Fallout 3    ,X360,Bethesda Softworks  ,Bethesda Game Studios  ,8.2,9,8.6,4.96m,3.41m,0.99m,0.09m,0.46m,28th Oct 08  ,
95,Madden NFL 06    ,PS2,EA Sports  ,EA Tiburon  ,N/A  ,9.1,N/A  ,4.91m,3.98m,0.26m,0.01m,0.66m,08th Aug 05  ,
96,Call of Duty: Black Ops IIII    ,XOne,Activision  ,Treyarch  ,N/A  ,N/A  ,N/A  ,4.85m,3.27m,1.12m,,0.46m,12th Oct 18  ,07th Nov 18
97,Crash Bandicoot N. Sane Trilogy    ,PS4,Activision  ,Vicarious Visions  ,N/A  ,N/A  ,N/A  ,4.83m,1.09m,2.92m,0.07m,0.74m,30th Jun 17  ,23rd Sep 18
98,Assassin's Creed    ,PS3,Ubisoft  ,Ubisoft Montreal  ,7.5,8.2,8.5,4.83m,1.91m,2.01m,0.09m,0.82m,13th Nov 07  ,
99,Call of Duty: Infinite Warfare    ,XOne,Activision  ,Infinity Ward  ,N/A  ,N/A  ,N/A  ,4.79m,2.91m,1.44m,,0.44m,04th Nov 16  ,24th Mar 18
100,Crash Team Racing    ,PS,Sony Computer Entertainment  ,Naughty Dog  ,N/A  ,9.2,N/A  ,4.79m,2.57m,1.57m,0.44m,0.21m,30th Sep 99  ,
101,LEGO Star Wars: The Complete Saga    ,DS,LucasArts  ,Traveller's Tales  ,N/A  ,7.8,N/A  ,4.77m,2.83m,1.49m,,0.45m,06th Nov 07  ,
102,Batman: Arkham City    ,X360,Warner Bros. Interactive  ,Rocksteady Studios  ,N/A  ,9.5,N/A  ,4.75m,2.99m,1.28m,0.04m,0.44m,18th Oct 11  ,
103,Driver 2    ,PS,Atari  ,Reflections Interactive  ,N/A  ,7,N/A  ,4.73m,2.36m,2.10m,0.02m,0.25m,13th Nov 00  ,
104,The Simpsons: Hit & Run    ,PS2,VU Games  ,Radical Entertainment  ,N/A  ,7.7,N/A  ,4.70m,1.73m,2.19m,,0.79m,16th Sep 03  ,
105,Tony Hawk's Pro Skater 2    ,PS,Activision  ,Neversoft Entertainment  ,N/A  ,9.3,N/A  ,4.68m,3.05m,1.41m,0.02m,0.20m,20th Sep 00  ,
106,The Lord of the Rings: The Two Towers    ,PS2,Electronic Arts  ,Stormfront Studios  ,N/A  ,8.3,N/A  ,4.67m,1.94m,1.95m,0.08m,0.70m,21st Oct 02  ,
107,Tomb Raider    ,PS,Eidos Interactive  ,Core Design Ltd.  ,N/A  ,8.9,N/A  ,4.63m,2.29m,1.97m,0.13m,0.24m,14th Nov 96  ,
108,Forza Motorsport 4    ,X360,Microsoft Studios  ,Turn 10 Studio  ,9,9.1,N/A  ,4.60m,2.08m,1.98m,0.06m,0.49m,11th Oct 11  ,
109,Guitar Hero III: Legends of Rock    ,Wii,RedOctane  ,Vicarious Visions  ,N/A  ,8.6,N/A  ,4.60m,3.04m,1.12m,0.00m,0.44m,28th Oct 07  ,
110,FIFA 15    ,PS3,EA Sports  ,EA Canada  ,N/A  ,6.9,N/A  ,4.56m,0.59m,3.25m,0.04m,0.68m,23rd Sep 14  ,23rd Mar 18
111,Mario & Sonic at the Olympic Winter Games    ,Wii,Sega  ,Sega  ,N/A  ,6.8,N/A  ,4.54m,1.87m,1.97m,0.22m,0.48m,13th Oct 09  ,
112,Overwatch    ,PS4,Blizzard Entertainment  ,Blizzard Entertainment  ,N/A  ,8.8,N/A  ,4.54m,1.84m,1.80m,0.17m,0.73m,24th May 16  ,24th Mar 18
