,Game Name,Console,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Last Update
8635,Epidemic    ,PS,Sony Computer Entertainment  ,Genki  ,N/A  ,N/A  ,N/A  ,0.14m,0.02m,0.01m,0.10m,0.01m,31st Oct 96  ,
8636,Monster House    ,GC,THQ  ,Artificial Mind and Movement  ,N/A  ,N/A  ,N/A  ,0.14m,0.11m,0.03m,,0.00m,18th Jul 06  ,
8637,Yogi Bear: The Video Game    ,DS,D3 Publisher  ,Monkey Bar Games  ,N/A  ,N/A  ,N/A  ,0.14m,0.10m,0.03m,,0.01m,07th Dec 10  ,
8638,Asphalt: Urban GT 2    ,DS,Ubisoft  ,Virtuos / Game Source  ,N/A  ,N/A  ,N/A  ,0.14m,0.09m,0.04m,,0.01m,14th Nov 06  ,
8639,Dead or Alive 2    ,DC,Tecmo  ,Team Ninja  ,N/A  ,9,N/A  ,0.14m,,,0.14m,,29th Feb 00  ,
8640,X-Blades    ,X360,SouthPeak Interactive  ,Gaijin Entertainment  ,N/A  ,6,N/A  ,0.14m,0.10m,0.02m,0.02m,0.01m,10th Feb 09  ,
8641,Buck Fever    ,Wii,Destineer  ,Cokem International  ,N/A  ,N/A  ,N/A  ,0.14m,0.13m,,,0.01m,17th Nov 09  ,
8642,Cabela's African Safari    ,X360,Activision  ,Activision Value  ,N/A  ,N/A  ,N/A  ,0.14m,0.13m,0.00m,,0.01m,21st Nov 06  ,
8643,Wild ARMs XF    ,PSP,Xseed Games  ,Media.Vision  ,N/A  ,N/A  ,N/A  ,0.14m,0.07m,,0.06m,0.01m,11th Mar 08  ,
8644,NCAA Basketball Final Four 97    ,PS,Mindscape  ,High Voltage Software  ,N/A  ,N/A  ,N/A  ,0.14m,0.08m,0.05m,,0.01m,31st Mar 97  ,
8645,Hot Wheels: Beat That!    ,Wii,Activision  ,Eutechnyx  ,N/A  ,N/A  ,N/A  ,0.14m,0.13m,0.00m,,0.01m,30th Sep 07  ,
8646,Ecco the Dolphin: Defender of the Future    ,PS2,Acclaim Entertainment  ,Appaloosa Interactive  ,N/A  ,7.8,N/A  ,0.14m,0.07m,0.05m,,0.02m,03rd Mar 02  ,
8647,The Bombing Islands    ,PS,Kemco  ,Kemco  ,N/A  ,N/A  ,N/A  ,0.14m,0.08m,0.05m,,0.01m,26th Apr 01  ,
8648,Just Cause    ,X360,Eidos Interactive  ,Avalanche Studios  ,N/A  ,7.3,N/A  ,0.14m,0.10m,0.03m,0.01m,0.01m,27th Sep 06  ,
8649,Chikyuu Boueigun 2 Portable    ,PSP,D3 Publisher  ,Sandlot  ,N/A  ,N/A  ,N/A  ,0.14m,,,0.14m,,07th Apr 11  ,
8650,Let's Cheer    ,X360,2K Play  ,Cat Daddy Games  ,N/A  ,N/A  ,N/A  ,0.14m,0.12m,0.00m,,0.01m,07th Nov 11  ,
8651,The Darkness II    ,PC,2K Games  ,Digital Extremes  ,N/A  ,N/A  ,N/A  ,0.14m,0.10m,0.03m,,0.01m,07th Feb 12  ,
8652,Gyakuten Saiban 2    ,GBA,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,0.14m,,,0.14m,0.00m,18th Oct 02  ,
8653,Godzilla: Save the Earth    ,XB,Atari  ,"Pipeworks Software, Inc.  ",N/A  ,N/A  ,N/A  ,0.14m,0.10m,0.03m,,0.00m,16th Nov 04  ,
8654,LEGO The Lord of the Rings    ,DS,Warner Bros. Interactive Entertainment  ,Unknown  ,N/A  ,N/A  ,N/A  ,0.14m,,0.13m,,0.01m,30th Oct 12  ,
8655,Moshi Monsters: Katsuma Unleashed    ,DS,Activision  ,"Black Lantern Studios, Inc.  ",N/A  ,N/A  ,N/A  ,0.14m,,0.13m,,0.01m,05th Nov 13  ,09th Nov 18
8656,Micro Machines    ,PS2,Infogrames  ,Atari  ,N/A  ,N/A  ,N/A  ,0.14m,0.07m,0.05m,,0.02m,19th Mar 03  ,
8657,Detective Barbie: The Mystery Cruise    ,PS,Mattel Interactive  ,Runecraft  ,N/A  ,N/A  ,N/A  ,0.14m,0.08m,0.05m,,0.01m,01st Jan 00  ,
8658,Jim Henson's the Muppets: On With the Show!     ,GBA,TDK Mediactive  ,Vicarious Visions  ,N/A  ,6.3,N/A  ,0.14m,0.10m,0.04m,,0.00m,18th Mar 03  ,
8659,Desire    ,SAT,Imadio  ,Imadio  ,N/A  ,N/A  ,N/A  ,0.14m,,,0.14m,,11th Sep 97  ,
8660,College Hoops 2K8    ,PS3,2K Sports  ,Visual Concepts  ,N/A  ,N/A  ,N/A  ,0.14m,0.13m,,,0.01m,19th Nov 07  ,
8661,MySims Collection    ,Wii,Electronic Arts  ,The Sims Studio  ,N/A  ,N/A  ,N/A  ,0.14m,0.13m,,,0.01m,09th Nov 10  ,
8662,Mega Man X Legacy Collection 1+2    ,PS4,Capcom Entertainment  ,Digital Eclipse Software  ,N/A  ,N/A  ,N/A  ,0.14m,0.07m,,0.05m,0.02m,24th Jul 18  ,18th Aug 18
8663,Resident Evil: Revelations 2    ,XOne,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,0.14m,0.10m,0.02m,,0.01m,20th Mar 15  ,15th Apr 18
8664,Frank Thomas Big Hurt Baseball    ,PS,Acclaim Entertainment  ,Iguana Entertainment  ,N/A  ,N/A  ,N/A  ,0.14m,0.08m,0.05m,,0.01m,05th Jun 96  ,
8665,Tim Burton's The Nightmare Before Christmas: The Pumpkin King    ,GBA,Buena Vista  ,TOSE Software  ,N/A  ,N/A  ,N/A  ,0.14m,0.10m,0.04m,,0.00m,10th Oct 05  ,
8666,Power Pro Kun Pocket 8    ,DS,Konami  ,PawaPuro Production  ,N/A  ,N/A  ,N/A  ,0.14m,,,0.14m,,01st Dec 05  ,
8667,Enclave    ,XB,Conspiracy Entertainment  ,Starbreeze Studios  ,N/A  ,N/A  ,N/A  ,0.14m,0.11m,0.03m,,0.01m,29th Jul 02  ,
8668,Sid Meier's Pirates!    ,XB,2K Games  ,Firaxis Games  ,N/A  ,N/A  ,N/A  ,0.14m,0.11m,0.03m,,0.01m,11th Jul 05  ,
8669,Dishonored: Death of the Outsider    ,XOne,Bethesda Softworks  ,Arkane Studios  ,N/A  ,N/A  ,N/A  ,0.14m,0.07m,0.06m,,0.01m,15th Sep 17  ,03rd Mar 18
8670,The Crew: Wild Run    ,PS4,Ubisoft  ,Ivory Tower  ,N/A  ,N/A  ,N/A  ,0.14m,,0.12m,,0.02m,17th Nov 15  ,04th Jan 18
8671,Bottom of the 9th    ,PS,Konami  ,Konami  ,N/A  ,8,N/A  ,0.14m,0.08m,0.05m,,0.01m,04th Apr 96  ,
8672,Dino Crisis 3    ,XB,Capcom  ,Capcom Production Studio 4  ,N/A  ,N/A  ,N/A  ,0.14m,0.08m,0.03m,0.03m,0.00m,16th Sep 03  ,
8673,The Orange Box    ,PC,Electronic Arts  ,Valve Software  ,N/A  ,9.7,N/A  ,0.14m,,0.11m,,0.02m,10th Oct 07  ,
8674,NFL Blitz 20-03    ,GC,Midway Games  ,Point of View  ,N/A  ,7.8,N/A  ,0.14m,0.11m,0.03m,,0.00m,12th Aug 02  ,
8675,Star Wars: Knights of the Old Republic    ,PC,LucasArts  ,BioWare Corp.  ,N/A  ,N/A  ,N/A  ,0.14m,0.01m,0.11m,,0.02m,18th Nov 03  ,
8676,The King of Fighters '94 (CD)    ,NG,SNK  ,SNK Corporation  ,N/A  ,N/A  ,N/A  ,0.14m,,,0.14m,0.00m,01st Jan 94  ,
8677,Eragon    ,X360,Sierra Entertainment  ,Stormfront Studios  ,N/A  ,4.2,N/A  ,0.14m,0.12m,0.01m,,0.01m,14th Nov 06  ,
8678,Barbie Explorer    ,PS,Unknown  ,Runecraft  ,N/A  ,N/A  ,N/A  ,0.14m,0.08m,0.05m,,0.01m,04th Sep 01  ,
8679,Disney's Chicken Little    ,XB,Buena Vista  ,Avalanche Software  ,N/A  ,7,N/A  ,0.14m,0.10m,0.03m,,0.00m,18th Oct 05  ,
8680,Secret Agent Clank    ,PSP,Sony Computer Entertainment  ,High Impact Games  ,N/A  ,7,N/A  ,0.14m,0.04m,0.04m,0.04m,0.02m,17th Jun 08  ,
8681,Agile Warrior F-111X    ,PS,Virgin Interactive  ,Black Ops Entertainment  ,N/A  ,N/A  ,N/A  ,0.14m,0.08m,0.05m,,0.01m,21st Nov 95  ,
8682,Dynasty Warriors 7: Empires    ,PS3,Tecmo Koei  ,Omega Force  ,N/A  ,N/A  ,N/A  ,0.14m,,0.00m,0.14m,0.00m,08th Nov 12  ,31st Dec 17
8683,Scene It? Bright Lights! Big Screen!    ,Wii,Warner Bros. Interactive  ,Screenlife Games  ,N/A  ,N/A  ,N/A  ,0.14m,0.13m,0.00m,,0.01m,17th Nov 09  ,
8684,Jikkyou Powerful Pro Yakyuu Wii     ,Wii,Konami  ,PawaPuro Production  ,N/A  ,N/A  ,N/A  ,0.14m,,,0.14m,,19th Jul 07  ,
8685,BIT.TRIP SAGA    ,3DS,Aksys Games  ,Gaijin Games Inc.  ,8.3,7.5,N/A  ,0.14m,0.09m,0.04m,,0.01m,13th Sep 11  ,14th Jan 19
8686,How to Train Your Dragon    ,X360,Activision  ,Etranges Libellules  ,N/A  ,4.6,N/A  ,0.14m,0.11m,0.02m,,0.01m,23rd Mar 10  ,
8687,Spider-Man: Edge of Time    ,DS,Activision  ,Beenox  ,N/A  ,N/A  ,N/A  ,0.14m,0.12m,0.01m,,0.01m,04th Oct 11  ,
8688,Ultimate Marvel vs. Capcom 3    ,XOne,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,0.14m,0.12m,,,0.01m,07th Mar 17  ,
8689,Super Puzzle Fighter II Turbo    ,PS,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,0.14m,0.08m,0.05m,,0.01m,30th Nov 96  ,
8690,Star Wars: Jedi Power Battles    ,GBA,THQ  ,HotGen Studios  ,N/A  ,N/A  ,N/A  ,0.14m,0.10m,0.04m,,0.00m,21st Nov 02  ,
8691,Ultimate Muscle - The Kinnikuman Legacy: Legends vs New Generation    ,GC,Bandai  ,Aki Corporation  ,N/A  ,8,N/A  ,0.14m,0.04m,0.01m,0.08m,0.00m,05th Jun 03  ,
8692,MXGP 2    ,PS4,Milestone S.r.l  ,Milestone S.r.l.  ,N/A  ,N/A  ,N/A  ,0.14m,0.05m,0.06m,,0.02m,21st Jun 16  ,19th Jun 18
8693,My Hero One's Justice    ,XOne,Bandai Namco Entertainment  ,Byking  ,N/A  ,N/A  ,N/A  ,0.14m,0.12m,,,0.01m,26th Oct 18  ,12th Sep 18
8694,Space Venus starring Morning Musume    ,PS2,Sony Music Entertainment  ,Sony Music Entertainment Inc.  ,N/A  ,N/A  ,N/A  ,0.14m,,,0.14m,,11th Jan 01  ,
8695,Dragon Age: Origins - Ultimate Edition    ,PC,Electronic Arts  ,BioWare Corp.  ,N/A  ,N/A  ,N/A  ,0.14m,,0.12m,,0.01m,12th Oct 10  ,
8696,To Heart    ,PS,Aquaplus  ,Aquaplus  ,N/A  ,N/A  ,N/A  ,0.14m,,,0.13m,0.01m,25th Mar 99  ,
8697,Monster Lab    ,DS,Eidos Interactive  ,Backbone Entertainment  ,N/A  ,N/A  ,N/A  ,0.14m,0.12m,0.01m,,0.01m,04th Nov 08  ,
8698,Doukyuusei    ,PCE,NEC  ,Flight Plan  ,N/A  ,N/A  ,N/A  ,0.14m,,,0.14m,,23rd Nov 95  ,
8699,RockMan & Forte    ,SNES,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,0.14m,,,0.14m,0.00m,24th Apr 98  ,
8700,The Walking Dead: Season Two    ,PSV,Telltale Games  ,Unknown  ,N/A  ,N/A  ,N/A  ,0.14m,0.08m,0.01m,0.02m,0.03m,01st Jan 14  ,
8701,History Channel: Civil War - A Nation Divided    ,X360,Activision  ,Cauldron Ltd.  ,N/A  ,N/A  ,N/A  ,0.14m,0.13m,,,0.01m,14th Nov 06  ,
8702,Master Jin Jin's IQ Challenge    ,DS,Valcon Games  ,ASK  ,N/A  ,N/A  ,N/A  ,0.14m,0.13m,0.00m,,0.01m,08th Oct 07  ,
8703,Persona 4 Arena Ultimax    ,PS3,Atlus  ,Arc System Works  ,N/A  ,N/A  ,N/A  ,0.14m,,0.00m,0.13m,0.00m,30th Sep 14  ,11th Jan 18
8704,Gundam Breaker 3    ,PSV,Namco Bandai Games  ,Namco Bandai Games  ,N/A  ,N/A  ,N/A  ,0.14m,,,0.14m,,03rd Mar 16  ,03rd Jul 18
8705,FIFA 06 Soccer    ,GC,EA Sports  ,EA Canada  ,N/A  ,N/A  ,N/A  ,0.14m,0.11m,0.03m,,0.00m,04th Oct 05  ,
8706,Rayman Arena    ,GC,Ubisoft  ,Ubisoft  ,N/A  ,6.2,N/A  ,0.14m,0.11m,0.03m,,0.00m,24th Sep 02  ,
8707,4X4 EVO 2    ,GC,VU Games  ,Terminal Reality  ,N/A  ,5.1,N/A  ,0.14m,0.11m,0.03m,,0.00m,09th Sep 02  ,
8708,Pro Yakyuu Netsu Star 2006    ,PS2,Namco  ,Namco  ,N/A  ,N/A  ,N/A  ,0.14m,,,0.14m,,06th Apr 06  ,
8709,Blazing Angels 2: Secret Missions of WWII    ,X360,Ubisoft  ,Ubisoft Romania  ,N/A  ,7.6,N/A  ,0.14m,0.11m,0.02m,,0.01m,18th Sep 07  ,
8710,Rodea the Sky Soldier    ,WiiU,NIS America  ,Kadokawa Games  ,N/A  ,7,N/A  ,0.14m,0.10m,0.02m,0.01m,0.01m,10th Nov 15  ,06th Apr 18
8711,Rio    ,PS3,THQ  ,TBA  ,N/A  ,N/A  ,N/A  ,0.14m,0.04m,0.07m,,0.02m,12th Apr 11  ,
8712,NBA 2K13    ,WiiU,2K Sports  ,Visual Concepts  ,N/A  ,7.6,N/A  ,0.14m,0.08m,0.04m,,0.01m,18th Nov 12  ,04th Jan 18
8713,Cyber Sled    ,PS,Namco  ,Namco  ,N/A  ,N/A  ,N/A  ,0.14m,,,0.13m,0.01m,18th Oct 95  ,
8714,Puyo Puyo!! 20th Anniversary    ,DS,Sega  ,Sega  ,N/A  ,N/A  ,N/A  ,0.14m,,,0.14m,,14th Jul 11  ,
8715,Shining Soul    ,GBA,Atlus  ,Next Entertainment  ,N/A  ,N/A  ,N/A  ,0.14m,0.03m,0.01m,0.09m,0.00m,23rd Sep 03  ,
8716,Ys VIII: Lacrimosa of Dana    ,PSV,NIS America  ,Falcom  ,N/A  ,N/A  ,N/A  ,0.14m,0.01m,0.01m,0.11m,0.01m,12th Sep 17  ,10th Jan 18
8717,Ape Escape Academy (jp sales)    ,PSP,Sony Computer Entertainment  ,Shift  ,N/A  ,N/A  ,N/A  ,0.14m,,0.00m,0.13m,,17th Jan 06  ,18th Sep 18
8718,Paws & Claws: Pet Vet 2    ,DS,THQ  ,ValuSoft  ,N/A  ,N/A  ,N/A  ,0.14m,0.13m,,,0.01m,07th Aug 07  ,
8719,Overstrike    ,X360,Electronic Arts  ,Insomniac Games  ,N/A  ,N/A  ,N/A  ,0.14m,0.09m,0.03m,,0.01m,28th May 13  ,
8720,Create    ,X360,Electronic Arts  ,EA Bright Light  ,N/A  ,6.3,N/A  ,0.14m,0.10m,0.03m,,0.01m,16th Nov 10  ,
8721,In the Hunt    ,PS,THQ  ,Xing Entertainment  ,N/A  ,N/A  ,N/A  ,0.14m,0.03m,0.02m,0.07m,0.01m,01st Mar 96  ,
8722,Daytona USA Championship Circuit Edition    ,SAT,Sega  ,Sega-AM3  ,N/A  ,N/A  ,N/A  ,0.14m,,,0.14m,,25th Nov 96  ,
8723,Marvel vs. Capcom 2    ,XB,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,0.14m,0.09m,0.03m,0.01m,0.00m,27th Mar 03  ,
8724,Sega Genesis Collection    ,PS2,Sega  ,Digital Eclipse  ,N/A  ,N/A  ,N/A  ,0.14m,,0.02m,,0.12m,07th Nov 06  ,
8725,NCIS    ,X360,Ubisoft  ,Ubisoft  ,N/A  ,N/A  ,N/A  ,0.14m,0.10m,0.02m,,0.01m,01st Nov 11  ,
8726,Hard Rock Casino    ,PSP,Crave Entertainment  ,Crave Entertainment  ,N/A  ,3.8,N/A  ,0.14m,0.12m,0.00m,,0.01m,24th Apr 07  ,
8727,Imagine: Fashion Stylist    ,DS,Ubisoft  ,Magic Pockets  ,N/A  ,N/A  ,N/A  ,0.14m,0.13m,,,0.01m,02nd Nov 10  ,
8728,Fear Factor: Unleashed    ,GBA,Hip Interactive  ,Arush Entertainment  ,N/A  ,3,N/A  ,0.14m,0.10m,0.04m,,0.00m,17th Nov 04  ,
8729,Robots    ,DS,VU Games  ,Amaze Entertainment  ,N/A  ,4.5,N/A  ,0.14m,0.12m,0.00m,,0.01m,24th Feb 05  ,
8730,Deception IV: Blood Ties    ,PSV,Tecmo Koei  ,Tecmo Koei Games  ,N/A  ,N/A  ,N/A  ,0.14m,0.02m,0.03m,0.07m,0.02m,25th Mar 14  ,09th Nov 18
8731,Alvin and the Chipmunks    ,DS,Brash Entertainment  ,Sensory Sweep Studios  ,N/A  ,N/A  ,N/A  ,0.14m,0.12m,0.00m,,0.01m,04th Dec 07  ,
8732,Heroes over Europe    ,X360,Ubisoft  ,Transmission Games  ,N/A  ,N/A  ,N/A  ,0.14m,0.10m,0.02m,,0.01m,15th Sep 09  ,
8733,Houshinengi    ,PS,KOEI  ,Koei / Inis  ,N/A  ,N/A  ,N/A  ,0.14m,,,0.13m,0.01m,10th Sep 98  ,
8734,7th Dragon    ,DS,Sega  ,imageepoch Inc.  ,N/A  ,N/A  ,N/A  ,0.14m,,,0.14m,,05th Mar 09  ,
8735,Pet Pals: Animal Doctor    ,Wii,Legacy Interactive  ,Legacy Interactive  ,N/A  ,N/A  ,N/A  ,0.14m,0.13m,,,0.01m,11th Nov 08  ,
8736,LEGO Island Xtreme Stunts    ,GBA,LEGO Media  ,Silicon Dreams  ,N/A  ,N/A  ,N/A  ,0.14m,0.10m,0.04m,,0.00m,15th Nov 02  ,
8737,Happy Feet    ,Wii,Midway Games  ,Artificial Mind and Movement  ,N/A  ,N/A  ,N/A  ,0.14m,0.12m,0.00m,,0.01m,13th Nov 06  ,
8738,MotoGP 17    ,PS4,Koch Media  ,Milestone S.r.l.  ,N/A  ,N/A  ,N/A  ,0.14m,0.04m,0.07m,,0.02m,11th Jul 17  ,25th Jun 18
8739,Bust-A-Move Deluxe    ,PSP,Majesco  ,Dreams  ,N/A  ,7.1,N/A  ,0.14m,0.13m,0.00m,,0.01m,04th Apr 06  ,
8740,UEFA Euro 2004: Portugal    ,PS2,EA Sports  ,EA Canada  ,N/A  ,N/A  ,N/A  ,0.14m,0.07m,0.05m,,0.02m,04th May 04  ,
8741,World Soccer Winning Eleven 9 Bonus Pack    ,PS2,Konami  ,Konami Computer Entertainment Tokyo  ,N/A  ,N/A  ,N/A  ,0.14m,,,0.14m,,26th Jan 06  ,
8742,Hot Wheels: World Race    ,GBA,THQ  ,Climax Group  ,N/A  ,N/A  ,N/A  ,0.14m,0.10m,0.04m,,0.00m,14th Nov 03  ,
8743,Major League Baseball 2K8    ,Wii,2K Sports  ,Kush Games  ,N/A  ,N/A  ,N/A  ,0.14m,0.13m,,,0.01m,03rd Mar 08  ,
8744,Touch My Katamari     ,PSV,Namco Bandai Games  ,Namco Bandai Games  ,7,N/A  ,N/A  ,0.14m,0.07m,0.04m,,0.03m,21st Feb 12  ,09th Nov 18
8745,NBA Jam    ,XB,Acclaim Entertainment  ,Acclaim Entertainment  ,N/A  ,N/A  ,N/A  ,0.14m,0.10m,0.03m,,0.00m,23rd Sep 03  ,
8746,Hyperdimension Neptunia Re;Birth1    ,PSV,Idea Factory  ,Idea Factory  ,N/A  ,N/A  ,N/A  ,0.14m,0.05m,,0.07m,0.02m,26th Aug 14  ,03rd Dec 18
8747,World Tour Soccer 2002    ,PS2,Sony Computer Entertainment  ,SCEE London Studio  ,N/A  ,N/A  ,N/A  ,0.14m,0.07m,0.05m,,0.02m,17th Feb 02  ,03rd Dec 18
8748,Scene It? Bright Lights! Big Screen!    ,X360,Warner Bros. Interactive  ,Screenlife Games  ,N/A  ,6.2,N/A  ,0.14m,0.12m,0.00m,,0.01m,17th Nov 09  ,
8749,Fairy Fencer F: Advent Dark Force    ,PS4,Idea Factory International  ,Compile Heart  ,N/A  ,N/A  ,N/A  ,0.14m,0.06m,,0.06m,0.01m,26th Jul 16  ,03rd Jul 18
8750,Interactive Sampler Disc 6     ,PS,Sony Computer Entertainment  ,Various  ,N/A  ,N/A  ,N/A  ,0.14m,0.08m,0.05m,,0.01m,01st Jan 98  ,
8751,Jikkyou Powerful Pro Baseball Heroes    ,3DS,Konami Digital Entertainment  ,Konami  ,N/A  ,N/A  ,N/A  ,0.14m,,,0.14m,,15th Dec 16  ,03rd Jul 18
8752,Apex    ,XB,Atari  ,Milestone  ,N/A  ,N/A  ,N/A  ,0.14m,0.10m,0.03m,,0.00m,17th Feb 03  ,
8753,Kamen Rider Battle: Ganbaride Card Battle Taisen    ,DS,Namco Bandai  ,Bandai Namco Games  ,N/A  ,N/A  ,N/A  ,0.14m,,,0.14m,,29th Jul 10  ,
8754,Tomb Raider: The Prophecy    ,GBA,Ubisoft  ,Ubisoft Milan  ,N/A  ,N/A  ,N/A  ,0.14m,0.10m,0.04m,,0.00m,12th Nov 02  ,
8755,Vampire Night    ,PS2,Namco  ,Wow Entertainment  ,N/A  ,6.4,N/A  ,0.14m,0.07m,0.05m,,0.02m,14th Nov 01  ,
8756,Go Play: Circus Star    ,Wii,Majesco  ,N-Fusion Interactive Entertainment Corp.  ,N/A  ,N/A  ,N/A  ,0.14m,0.13m,,,0.01m,09th Jun 09  ,
8757,Metal Slug 7    ,DS,Ignition Entertainment  ,SNK Playmore Corporation  ,N/A  ,6.9,N/A  ,0.14m,0.12m,0.00m,0.01m,0.01m,18th Nov 08  ,
8758,Guilty Gear    ,PS,Atlus  ,Arc System Works  ,N/A  ,N/A  ,N/A  ,0.14m,0.03m,0.02m,0.07m,0.01m,31st Oct 98  ,
8759,Gyakuten Saiban 2    ,GBA,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,0.14m,,,0.14m,,18th Oct 02  ,
8760,The Elder Scrolls Online: Morrowind    ,XOne,Bethesda Softworks  ,ZeniMax Online Studios  ,N/A  ,N/A  ,N/A  ,0.14m,0.09m,0.03m,,0.01m,06th Jun 17  ,15th Sep 18
8761,Fashion Studio: Paris Collection    ,DS,Ubisoft  ,Ubisoft  ,N/A  ,N/A  ,N/A  ,0.14m,0.13m,,,0.01m,31st Mar 09  ,
8762,World Championship Poker 2: Featuring Howard Lederer    ,PSP,Crave Entertainment  ,Point of View  ,N/A  ,7,N/A  ,0.14m,0.12m,0.00m,,0.01m,11th Dec 05  ,
8763,Age of Empires: Collector's Edition    ,PC,Microsoft  ,Ensemble Studios  ,N/A  ,N/A  ,N/A  ,0.14m,0.02m,0.10m,,0.01m,02nd Nov 00  ,
8764,Mary-Kate and Ashley: Crush Course    ,PS,Acclaim Entertainment  ,n-Space  ,N/A  ,N/A  ,N/A  ,0.14m,0.08m,0.05m,,0.01m,31st Aug 01  ,
8765,NHL Breakaway 98    ,PS,Acclaim Entertainment  ,Sculptured Software  ,N/A  ,N/A  ,N/A  ,0.14m,0.08m,0.05m,,0.01m,30th Sep 97  ,
8766,Risen    ,PC,Deep Silver  ,Piranha Bytes  ,N/A  ,7.8,N/A  ,0.14m,,0.12m,,0.02m,02nd Oct 09  ,
8767,Disney's Cinderella: Magical Dreams    ,GBA,Buena Vista  ,Culture Brain  ,N/A  ,6,N/A  ,0.14m,0.10m,0.04m,,0.00m,20th Sep 05  ,
8768,Gourmet Chef: Cook Your Way to Fame    ,DS,Ubisoft  ,N/A  ,N/A  ,N/A  ,N/A  ,0.14m,0.13m,,,0.01m,24th Jun 08  ,
8769,MotoGP '06    ,X360,THQ  ,Climax Studios  ,N/A  ,8.3,N/A  ,0.14m,0.11m,0.01m,,0.01m,12th Jun 06  ,
8770,Tiger Woods PGA Tour 2005    ,GC,EA Sports  ,EA Redwood Shores  ,N/A  ,N/A  ,N/A  ,0.14m,0.10m,0.03m,,0.00m,20th Sep 04  ,
8771,Metal Gear Solid V: Ground Zeroes    ,X360,Konami Digital Entertainment  ,Kojima Productions  ,N/A  ,8.3,N/A  ,0.14m,0.06m,0.05m,0.01m,0.01m,18th Mar 14  ,22nd Mar 18
8772,G.I. Joe: The Rise of Cobra    ,DS,Electronic Arts  ,Fall Line Studio  ,6.1,5.6,N/A  ,0.14m,0.11m,0.01m,,0.01m,04th Aug 09  ,
8773,Tropico 5    ,PC,Kalypso Media  ,Haemimont Games  ,6.8,N/A  ,N/A  ,0.14m,0.04m,0.09m,,0.01m,01st Jan 15  ,20th Aug 18
8774,Naruto Shippuden: Kizuna Drive    ,PSP,Namco Bandai  ,Bandai Namco Games  ,N/A  ,7,N/A  ,0.14m,0.04m,0.03m,0.05m,0.02m,22nd Mar 11  ,
8775,Salt Lake 2002    ,PS2,Eidos Interactive  ,Attention To Detail  ,N/A  ,N/A  ,N/A  ,0.14m,0.07m,0.05m,,0.02m,29th Jan 02  ,
8776,ESPN MLB Baseball    ,XB,Sega  ,Blue Shift  ,N/A  ,N/A  ,N/A  ,0.14m,0.10m,0.03m,,0.00m,06th Apr 04  ,
8777,X-Blades    ,PS3,SouthPeak Interactive  ,Gaijin Entertainment  ,N/A  ,5.9,N/A  ,0.14m,0.07m,0.03m,0.02m,0.01m,10th Feb 09  ,
8778,Gladius    ,XB,LucasArts  ,LucasArts  ,N/A  ,N/A  ,N/A  ,0.14m,0.10m,0.03m,,0.00m,28th Oct 03  ,
8779,Legends of Wrestling    ,XB,Acclaim Entertainment  ,Acclaim Studios Salt Lake City  ,N/A  ,N/A  ,N/A  ,0.14m,0.10m,0.03m,,0.00m,27th May 02  ,
8780,Lips: I Love The 80s    ,X360,Microsoft Game Studios  ,iNiS  ,N/A  ,N/A  ,N/A  ,0.14m,,0.12m,,0.02m,02nd Apr 10  ,02nd Nov 18
8781,Magnetica    ,DS,Nintendo  ,Mitchell  ,N/A  ,N/A  ,N/A  ,0.14m,0.08m,0.01m,0.03m,0.01m,05th Jun 06  ,
8782,NBA 2K Playgrounds 2    ,NS,2K Games  ,Saber Interactive  ,N/A  ,N/A  ,N/A  ,0.14m,0.07m,0.05m,,0.01m,09th Nov 18  ,11th Sep 18
8783,Queen's Gate: Spiral Chaos    ,PSP,Namco Bandai  ,Bandai Namco Games  ,N/A  ,N/A  ,N/A  ,0.14m,,,0.14m,,28th Jul 11  ,
8784,Nayuta no Kiseki    ,PSP,Nihon Falcom Corp   ,Nihon Falcom Corporation  ,N/A  ,N/A  ,N/A  ,0.14m,,,0.14m,,26th Jul 12  ,09th Nov 18
8785,Top Spin 3    ,DS,2K Sports  ,Pam Development  ,N/A  ,N/A  ,N/A  ,0.14m,0.11m,0.02m,,0.01m,23rd Jun 08  ,
8786,Spy Hunter 2    ,XB,Midway Games  ,Angel Studios  ,N/A  ,N/A  ,N/A  ,0.13m,0.10m,0.03m,,0.00m,24th Nov 03  ,
8787,Rogue Warrior    ,PS3,Bethesda Softworks  ,Rebellion Developments  ,N/A  ,2.5,N/A  ,0.13m,0.11m,0.02m,,0.01m,01st Dec 09  ,
8788,Open Season    ,DS,Ubisoft  ,Ubisoft Montreal  ,N/A  ,7.4,N/A  ,0.13m,0.12m,0.00m,,0.01m,19th Sep 06  ,
